timestamp,study_name,trial_id,m,efc,efs,K,avg_recall,avg_time_ms,build_time_ms,reward_score,status
2025-11-25T16:57:45.516151,hnsw_adaptive_v3,0,41,290,1350,10,0.9672,9.3621,440183.0,-5890.000000000002,COMPLETE
2025-11-25T17:26:30.393463,hnsw_adaptive_v3,0,22,246,325,10,0.8294,1.1184,126809.0,-12779.999999999998,COMPLETE
2025-11-25T17:32:20.360722,hnsw_adaptive_v3,1,27,538,1206,10,0.9493,4.1718,301767.0,-6784.999999999997,COMPLETE
2025-11-25T18:21:00.872207,hnsw_adaptive_v3,10,51,980,370,10,0.9523,2.2759,981316.0,-6634.999999999997,COMPLETE
2025-11-25T19:16:13.534581,hnsw_adaptive_v3,10,64,843,1306,10,0.0,99999.0,99999.0,-54250.0,COMPLETE
2025-11-25T19:54:28.871715,hnsw_adaptive_v3,0,32,300,300,10,0.94508,1.064002,243228.32589,-6995.999999999998,COMPLETE
2025-11-25T20:03:48.331756,hnsw_adaptive_v3,1,48,500,800,10,0.99149,3.405897,519019.129495,2942.574091797256,COMPLETE
2025-11-25T20:16:25.247146,hnsw_adaptive_v3,2,34,722,1032,10,0.9939,4.38441,702452.091739,2289.708592262129,COMPLETE
2025-11-25T20:22:45.096676,hnsw_adaptive_v3,3,40,352,1684,10,0.996,6.510622,305690.285011,1546.9515573166436,COMPLETE
2025-11-25T20:29:55.309130,hnsw_adaptive_v3,4,39,399,1085,10,0.99268,4.633633,372695.32125,2165.8138012742916,COMPLETE
2025-11-25T20:38:06.451002,hnsw_adaptive_v3,5,53,422,1311,10,0.99576,6.077934,419241.085414,1656.0559179879215,COMPLETE
2025-11-25T20:49:52.385264,hnsw_adaptive_v3,6,36,689,181,10,0.93581,0.792656,689955.584702,-7459.499999999998,COMPLETE
2025-11-25T21:07:05.020642,hnsw_adaptive_v3,7,54,828,811,10,0.99485,3.973704,984745.075075,2526.393758669493,COMPLETE
2025-11-25T21:16:06.990290,hnsw_adaptive_v3,8,24,750,304,10,0.94623,1.056724,526507.592383,-6938.499999999998,COMPLETE
2025-11-25T21:24:28.440788,hnsw_adaptive_v3,9,62,474,268,10,0.95992,1.162868,484451.999163,-6254.0,COMPLETE
2025-11-25T21:29:54.107308,hnsw_adaptive_v3,10,18,490,1706,10,0.98445,5.143553,266217.373687,-5027.499999999997,COMPLETE
2025-11-25T21:46:54.505738,hnsw_adaptive_v3,11,61,840,674,10,0.99264,3.392421,973582.300464,2955.3873462167576,COMPLETE
2025-11-25T22:04:23.368630,hnsw_adaptive_v3,12,63,859,230,10,0.96187,1.219468,1030946.145032,-6156.499999999999,COMPLETE
2025-11-25T22:26:08.438789,hnsw_adaptive_v3,13,56,964,1532,10,0.99879,7.893025,1214363.10007,1280.7313817896181,COMPLETE
2025-11-25T22:39:40.871942,hnsw_adaptive_v3,14,62,667,1003,10,0.99603,5.114423,749079.992681,1966.2847765407748,COMPLETE
2025-11-25T22:42:57.753732,hnsw_adaptive_v3,15,49,208,687,10,0.97407,2.355632,162350.771904,-5546.5,COMPLETE
2025-11-25T22:58:36.764913,hnsw_adaptive_v3,16,32,916,1913,10,0.99794,7.970328,847825.954668,1267.5935098681007,COMPLETE
2025-11-25T23:09:47.921551,hnsw_adaptive_v3,17,50,596,791,10,0.99276,3.503156,627362.877542,2862.328851629787,COMPLETE
2025-11-25T23:15:52.931044,hnsw_adaptive_v3,18,61,322,1894,10,0.64915,7.320963,280054.476289,-21792.499999999996,COMPLETE
2025-11-25T23:30:01.722392,hnsw_adaptive_v3,19,43,695,1783,10,0.99839,9.019099,741280.335454,1122.1482030089703,COMPLETE
2025-11-25T23:41:03.200663,hnsw_adaptive_v3,20,30,680,339,10,0.96158,1.64512,635533.589664,-6171.0,COMPLETE
2025-11-26T00:02:10.114711,hnsw_adaptive_v3,21,50,547,718,10,0.99069,3.508275,564252.43556,2856.093688422373,COMPLETE
2025-11-26T00:14:36.541242,hnsw_adaptive_v3,22,45,677,596,10,0.98797,2.821029,713031.8557,3547.7758137651194,COMPLETE
2025-11-26T00:33:54.656136,hnsw_adaptive_v3,23,62,937,761,10,0.99474,3.855055,1107445.948152,2603.7367134061637,COMPLETE
2025-11-26T00:51:38.530745,hnsw_adaptive_v3,24,41,967,433,10,0.98199,2.073616,1035092.791203,-5150.499999999998,COMPLETE
